GRID_ID,N_Green,N_Grocery,N_Pharmacy,N_Transport
CA-51,CC-49,BY-52,BS-45,BQ-41
CB-51,CD-51,BY-52,BS-45,BQ-41
CC-51,CD-51,BY-52,BS-45,BQ-41
AN-50,AO-48,AP-50,BS-45,AK-75
AO-50,AO-48,AP-51,BS-45,AK-75
AR-50,AP-48,AQ-50,BS-45,BQ-41
AS-50,AQ-47,AQ-50,BS-45,BQ-41
AT-50,AQ-47,AT-48,BS-45,BQ-41
AU-50,AQ-47,AW-50,BS-45,BQ-41
AV-50,AQ-47,AW-50,BS-45,BQ-41
AX-50,BB-49,AW-50,BS-45,BQ-41
AY-50,BB-49,AW-50,BS-45,BQ-41
AZ-50,BB-49,AW-50,BS-45,BQ-41
BA-50,BB-49,BA-53,BS-45,BQ-41
BB-50,BB-49,AZ-47,BS-45,BQ-41
BC-50,BD-49,BA-53,BS-45,BQ-41
BD-50,BD-49,BH-51,BS-45,BQ-41
BE-50,BD-49,BH-51,BS-45,BQ-41
BF-50,BE-48,BH-51,BS-45,BQ-41
BG-50,BE-48,BH-51,BS-45,BQ-41
BH-50,BF-48,BH-51,BS-45,BQ-41
BJ-50,BF-48,BI-50,BS-45,BQ-41
BK-50,BF-48,BI-50,BS-45,BQ-41
BL-50,BF-48,BI-50,BS-45,BQ-41
BM-50,BF-48,BO-48,BS-45,BQ-41
BN-50,BT-46,BO-48,BS-45,BQ-41
BO-50,BT-46,BO-48,BS-45,BQ-41
BP-50,BT-46,BO-48,BS-45,BQ-41
BQ-50,BT-46,BO-48,BS-45,BQ-41
BR-50,BU-46,BO-48,BS-45,BQ-41
BS-50,BV-47,BQ-53,BS-45,BQ-41
BT-50,BV-47,BQ-53,BS-45,BQ-41
BU-50,BV-47,BX-53,BS-45,BQ-41
BV-50,BX-48,BX-53,BS-45,BQ-41
BW-50,BX-48,BX-53,BS-45,BQ-41
BX-50,BX-48,BY-52,BS-45,BQ-41
BY-50,BX-48,BY-52,BS-45,BQ-41
BZ-50,BZ-48,BY-52,BS-45,BQ-41
CA-50,CC-49,BY-52,BS-45,BQ-41
CB-50,CC-49,BY-52,BS-45,BQ-41
CC-50,CD-51,BY-52,BS-45,BQ-41
AL-49,AO-48,AP-50,L-66,AK-75
AM-49,AM-51,AP-50,BS-45,AK-75
AN-49,AO-48,AP-50,BS-45,BQ-41
AO-49,AO-48,AP-50,BS-45,BQ-41
AP-49,AO-48,AP-50,BS-45,BQ-41
AQ-49,AP-48,AP-50,BS-45,BQ-41
AR-49,AQ-47,AQ-50,BS-45,BQ-41
AS-49,AQ-47,AT-48,BS-45,BQ-41
AT-49,AQ-47,AT-48,BS-45,BQ-41
AU-49,AQ-47,AT-48,BS-45,BQ-41
AV-49,AQ-47,AW-50,BS-45,BQ-41
AW-49,BB-49,AW-50,BS-45,BQ-41
AX-49,BB-49,AW-50,BS-45,BQ-41
AY-49,BB-49,AW-50,BS-45,BQ-41
AZ-49,BB-49,AZ-47,BS-45,BQ-41
BA-49,BB-49,AZ-47,BS-45,BQ-41
BC-49,BB-49,AZ-47,BS-45,BQ-41
BE-49,BD-49,BH-51,BS-45,BQ-41
BF-49,BE-48,BH-51,BS-45,BQ-41
BG-49,BF-48,BH-51,BS-45,BQ-41
BH-49,BF-48,BI-50,BS-45,BQ-41
BI-49,BF-48,BI-50,BS-45,BQ-41
BJ-49,BF-48,BI-50,BS-45,BQ-41
BK-49,BF-48,BI-50,BS-45,BQ-41
BL-49,BF-48,BO-48,BS-45,BQ-41
BM-49,BF-48,BO-48,BS-45,BQ-41
BN-49,BT-46,BO-48,BS-45,BQ-41
BO-49,BT-46,BO-48,BS-45,BQ-41
BP-49,BT-46,BO-48,BS-45,BQ-41
BQ-49,BT-46,BO-48,BS-45,BQ-41
BR-49,BT-46,BO-48,BS-45,BQ-41
BS-49,BU-46,BO-48,BS-45,BQ-41
BT-49,BV-47,BO-48,BS-45,BQ-41
BU-49,BV-47,BX-53,BS-45,BQ-41
BV-49,BV-47,BX-53,BS-45,BQ-41
BW-49,BX-48,BY-52,BS-45,BQ-41
BX-49,BX-48,BY-52,BS-45,BQ-41
BY-49,BX-48,BY-52,BS-45,BQ-41
BZ-49,BZ-48,BY-52,BS-45,BQ-41
CA-49,BZ-48,BY-52,BS-45,BQ-41
CB-49,CC-49,BY-52,BS-45,BQ-41
AM-48,AO-48,AP-50,BS-45,BQ-41
AQ-48,AP-48,AP-50,BS-45,BQ-41
AR-48,AQ-47,AT-48,BS-45,BQ-41
AS-48,AQ-47,AT-48,BS-45,BQ-41
AU-48,AQ-47,AT-48,BS-45,BQ-41
AV-48,AQ-47,AT-48,BS-45,BQ-41
AW-48,BB-48,AW-50,BS-45,BQ-41
AX-48,BB-48,AY-46,BS-45,BQ-41
AY-48,BB-48,AZ-47,BS-45,BQ-41
AZ-48,BB-48,AZ-47,BS-45,BQ-41
BA-48,BB-49,AZ-47,BS-45,BQ-41
BG-48,BF-48,BH-51,BS-45,BQ-41
BH-48,BF-48,BI-50,BS-45,BQ-41
BI-48,BF-48,BI-50,BS-45,BQ-41
BJ-48,BF-48,BI-50,BS-45,BQ-41
BK-48,BF-48,BI-50,BS-45,BQ-41
BL-48,BF-48,BO-48,BS-45,BQ-41
BM-48,BF-48,BO-48,BS-45,BQ-41
BN-48,BS-44,BO-48,BS-45,BQ-41
BP-48,BT-46,BO-48,BS-45,BQ-41
BQ-48,BT-46,BO-48,BS-45,BQ-41
BR-48,BT-46,BO-48,BS-45,BQ-41
BS-48,BU-46,BO-48,BS-45,BQ-41
BT-48,BU-46,BO-48,BS-45,BQ-41
BU-48,BV-47,BO-48,BS-45,BQ-41
BV-48,BV-47,BY-52,BS-45,BQ-41
BY-48,BX-48,BY-52,BS-45,BQ-41
CA-48,BZ-48,BY-52,BS-45,BQ-41
CB-48,CC-48,BY-52,BS-45,BQ-41
CH-48,CG-46,CG-42,BS-45,BQ-41
